ins_date,ytd_expenses,office,termination_date,cash_balance,committe_name,registration_date,candidate_name,ytd_revenues,district_num,location
2018-02-03,$0.00,Council Member,01/26/2016,$36.92,"Susan ""Hofmeister"" Woodruff for City Council",08/07/2015,"""Hofmeister"" Woodruff, Susan",$0.00,2,Bloomington
2018-02-03,$0.00,Council Member,01/23/2014,$0.00,Abdi Abdulle,07/15/2013,"Abdulle, Abdi",$0.00,9,Minneapolis
2018-02-03,$0.00,Council Member,07/05/2016,$0.00,Citizens for CBA Committee,12/07/2012,"Abrams, Cynthia Bemis",$0.00,At large,Bloomington
2018-02-03,$0.00,Council Member,,$0.00,The Committee to Elect Justin C. Adams,01/05/2017,"Adams, Justin",$0.00,3,Minneapolis
2018-02-03,$0.00,Council Member,03/07/2014,$0.00,Abdi Addow for Ward 6,11/04/2013,"Addow, Abdi",$0.00,6,Minneapolis
2018-02-03,$0.00,Council Member,02/23/2015,$30.76,Friends of Alexander,01/30/2013,"Alexander, Ian",$0.00,5,Minneapolis
2018-02-03,$746.57,School Board,,$137.73,Siad Ali for Minneapolis School Board,12/27/2013,"Ali, Siad",$150.00,3,Minneapolis
2018-02-03,$0.00,School Board,02/02/2015,$0.24,Iris for School Board Campaign,02/11/2014,"Altamirano, Iris",$0.00,At Large,Minneapolis
2018-02-03,$0.00,Library Board,,$81.33,Charlotte Anderson for Library Board,07/28/1989,"Anderson, Charlotte",$0.00,,Minneapolis
2018-02-03,$0.00,Mayor,01/30/2013,$98.19,Citizens for Hans,06/03/2011,"Anderson, Hans C.",$0.00,,Bloomington
2018-02-03,$0.00,Mayor,02/11/2015,$0.00,Mark V Anderson for Mayor,07/02/2013,"Anderson, Mark",$0.00,,Minneapolis
2018-02-03,$0.00,Park Board,09/23/2013,$0.00,Mary Merrill Anderson 4 Parks Committee,03/02/2005,"Anderson, Mary Merrill",$0.00,At Large,Minneapolis
2018-02-03,$0.00,Mayor,04/21/2015,$0.00,Merrill Anderson Campaign Committee,09/23/2013,"Anderson, Merrill",$0.00,,Minneapolis
2018-02-03,$0.00,Mayor,02/20/2015,$0.00,Mark Andrew for Minneapolis,02/04/2013,"Andrew, Mark",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,01/20/2016,$0.00,Neighbors for Amy Arcand,11/13/2008,"Arcand, Amy",$0.00,9,Minneapolis
2018-02-03,$316.15,School Board,,"$1,450.08",Jenny Arneson for School Board,11/23/2009,"Arneson, Jenny",$165.17,1,Minneapolis
2018-02-03,"$8,142.77",Council Member,,"$1,060.23",Mike for Bloomington,03/10/2017,"Arulfo, Michael","$9,203.00",At large,Bloomington
2018-02-03,$0.00,School Board,,$313.43,Tracine Asberry for Minneapolis School Board,03/05/2012,"Asberry, Tracine",$0.00,6,Minneapolis
2018-02-03,$0.00,Council Member,,"$2,452.56",Axtell Volunteer Committee,09/22/2005,"Axtell, Rod",$0.00,2,Bloomington
2018-02-03,"$5,892.02",Council Member,,"$5,239.23",Baloga for Council Committee,09/02/2011,"Baloga, Jack","$7,685.43",3,Bloomington
2018-02-03,$0.00,Park Board,01/31/2014,$0.00,Barland for Parks,10/01/2013,"Barland, Steve",$0.00,At Large,Minneapolis
2018-02-03,$0.00,School Board,01/26/2015,$0.00,Carla Bates for Minneapolis Schools,10/01/2007,"Bates, Carla",$0.00,At Large,Minneapolis
2018-02-03,"$1,569.06",Estimate & Tax Board,,"$1,509.04",Becker Volunteer Committee,03/11/2005,"Becker, Carol","$1,236.18",,Minneapolis
2018-02-03,"$82,583.39",Council Member,,"$21,988.20",Neighbors for Lisa Bender,12/13/2012,"Bender, Lisa","$38,210.00",10,Minneapolis
2018-02-03,$0.00,Mayor,02/03/2014,$0.00,Troy Benjegerdes for Minneapolis Mayor,09/06/2013,"Benjegerdes, Troy",$0.00,,Minneapolis
2018-02-03,$0.00,Mayor,,$564.94,Alicia K Bennett for Mayor,08/26/2013,"Bennett, Alicia",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,09/23/2014,$0.00,Bicking for City Council,08/09/2005,"Bicking, Dave",$0.00,9,Minneapolis
2018-02-03,$0.00,Council Member,,$230.70,Friends of Zavier Bicott,06/17/2013,"Bicott, Zavier",$0.00,At large,Bloomington
2018-02-03,"$45,318.15",Council Member,,$35.85,Tim for Ward 3,06/27/2017,"Bildsoe, Tim","$45,352.00",3,Minneapolis
